Attempt,Algorithm,Length,Time
1,A*,3,7.00E-05
1,A*,4,0.00746
1,A*,5,0.01052
1,A*,6,0.00101
1,A*,7,0.0087
1,A*,8,0.00286
1,A*,9,0.00157
1,A*,10,0.0005
1,A*,11,0.00011
1,A*,12,0.00088
1,A*,13,0.00148
1,A*,14,0.00124
1,A*,15,0.00606
1,A*,16,0.0056
1,A*,17,0.00516
1,A*,18,0.00025
1,A*,19,0.00267
1,A*,20,0.00269
1,A*,21,0.00046
1,A*,22,0.00355
1,A*,23,0.00011
1,A*,24,0.00439
1,A*,25,0.00183
1,A*,26,0.00261
1,A*,27,0.00322
1,A*,28,0.00052
1,A*,29,0.00481
1,A*,30,0.00323
1,A*,31,0.00177
1,A*,32,0.0064
1,A*,33,0.00461
1,A*,34,0.00225
1,A*,35,0.00685
1,A*,36,0.00087
1,A*,37,0.00292
1,A*,38,0.00028
1,A*,39,0.00062
1,A*,40,0.00097
1,A*,41,0.0016
1,A*,42,0.00071
1,A*,43,0.00056
1,A*,44,0.00035
2,A*,3,0.00055
2,A*,4,0.00397
2,A*,5,0.00707
2,A*,6,0.00187
2,A*,7,0.00327
2,A*,8,0.00099
2,A*,9,0.00092
2,A*,10,0.0007
2,A*,11,0.00038
2,A*,12,0.00048
2,A*,13,0.00257
2,A*,14,0.00024
2,A*,15,0.00043
2,A*,16,0.00437
2,A*,17,0.0004
2,A*,18,4.00E-05
2,A*,19,0.0102
2,A*,20,0.00556
2,A*,21,0.0015
2,A*,22,0.00032
2,A*,23,0.00063
2,A*,24,0.00073
2,A*,25,0.00127
2,A*,26,0.00074
2,A*,27,0.00136
3,A*,3,6.00E-05
3,A*,4,0.00169
3,A*,5,0.00046
3,A*,6,0.00432
3,A*,7,0.00094
3,A*,8,0.00332
3,A*,9,0.00078
3,A*,10,0.00082
3,A*,11,0.01364
3,A*,12,0.00324
3,A*,13,0.00098
3,A*,14,0.0002
3,A*,15,0.00224
3,A*,16,0.00165
3,A*,17,0.00237
3,A*,18,0.00757
3,A*,19,0.00056
3,A*,20,0.00229
3,A*,21,0.00257
3,A*,22,0.00074
3,A*,23,0.00153
3,A*,24,0.0069
3,A*,25,0.00053
3,A*,26,0.00022
3,A*,27,0.00113
3,A*,28,0.01227
3,A*,29,0.00294
3,A*,30,0.00168
3,A*,31,0.00702
3,A*,32,0.00051
3,A*,33,3.00E-05
3,A*,34,0.00855
3,A*,35,0.00416
3,A*,36,7.00E-05
3,A*,37,0.00168
3,A*,38,0.00444
3,A*,39,0.003
3,A*,40,0.00835
3,A*,41,0.00106
3,A*,42,0.00263
3,A*,43,0.0027
3,A*,44,0.00274
3,A*,45,0.00829
3,A*,46,0.00167
3,A*,47,0.00228
3,A*,48,0.00143
3,A*,49,0.0008
3,A*,50,0.00479
3,A*,51,0.00207
