Attempt,Algorithm,Length,Time,,,,,,,,,,
1,A*,3,0.00019,,,,,,,,,,
1,A*,4,0.00042,,,,,,,,,,
1,A*,5,0.00063,,,Length,A*,BFS,Dijkstra,,A*,BFS,Dijkstra
1,A*,6,0.0001,,,3,100.0%,100.0%,100.0%,,9.895E-05,6.64E-05,0.0001219
1,A*,7,0.00023,,,4,100.0%,100.0%,100.0%,,0.000158,0.00014955,0.00027755
1,A*,8,0.00015,,,5,100.0%,100.0%,100.0%,,0.0002764,0.0002139,0.0004405
1,A*,9,2.00E-05,,,6,99.5%,100.0%,100.0%,,0.00027715,0.0002193,0.0004077
1,A*,10,0.00013,,,7,98.5%,100.0%,99.0%,,0.000269548,0.00021555,0.00035865
2,A*,3,0.0001,,,8,97.0%,97.5%,97.5%,,0.000248376,0.0002125,0.000356313
2,A*,4,0.00012,,,9,94.0%,94.5%,94.5%,,0.000278814,0.000214769,0.000397487
2,A*,5,0.00019,,,10,87.0%,91.5%,91.0%,,0.000278085,0.000235238,0.000378201
2,A*,6,5.00E-05,,,11,83.0%,86.0%,87.0%,,0.000292241,0.000224699,0.000325824
2,A*,7,0.00052,,,12,78.0%,80.0%,81.5%,,0.000271386,0.000206395,0.000371264
2,A*,8,6.00E-05,,,13,71.0%,73.5%,75.0%,,0.000264038,0.000219188,0.000321104
2,A*,9,0.00028,,,14,67.0%,64.5%,65.5%,,0.000231972,0.000174762,0.000351133
2,A*,10,0.00021,,,15,56.5%,52.0%,60.0%,,0.000218582,0.000153256,0.00033229
2,A*,11,7.00E-05,,,16,47.5%,40.5%,52.5%,,0.000211239,0.000153558,0.000245417
2,A*,12,0.00049,,,17,40.0%,32.5%,46.0%,,0.000202316,0.000153951,0.000233048
2,A*,13,0.0002,,,18,31.5%,28.5%,38.0%,,0.000175875,0.000124923,0.000214565
2,A*,14,0.00013,,,19,26.5%,20.0%,32.5%,,0.000173492,0.00010807,0.000208816
2,A*,15,0.00045,,,20,19.5%,16.0%,26.0%,,0.000149245,0.00010975,0.000193231
2,A*,16,3.00E-05,,,21,15.5%,13.5%,19.5%,,0.000141538,0.0001175,0.000207692
3,A*,3,8.00E-05,,,22,11.0%,9.5%,14.5%,,0.000132258,0.000114074,0.000174872
3,A*,4,0.00021,,,23,8.5%,7.0%,9.0%,,0.000150455,7.10526E-05,9.75862E-05
3,A*,5,0.00089,,,24,4.5%,4.0%,5.0%,,0.000122941,5.28571E-05,0.000144444
3,A*,6,0.00075,,,25,3.5%,2.5%,4.5%,,0.000137778,0.0000825,0.000135
3,A*,7,0.00071,,,26,1.5%,1.5%,2.5%,,8.71429E-05,0.00006,0.000106667
3,A*,8,0.00021,,,27,0.5%,1.5%,1.5%,,9.66667E-05,4.66667E-05,0.000096
3,A*,9,0.0002,,,28,0.0%,1.0%,1.0%,,0.0001,2.66667E-05,9.66667E-05
3,A*,10,0.0003,,,29,0.0%,0.5%,1.0%,,#DIV/0!,0.000075,0.000045
3,A*,11,0.00039,,,30,0.0%,0.0%,0.5%,,#DIV/0!,0.00005,0.00007
3,A*,12,0.0012,,,31,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,0.00007
3,A*,13,0.00027,,,32,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,14,0.00015,,,33,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
3,A*,15,0.00016,,,34,0.0%,0.0%,0.0%,,#DIV/0!,#DIV/0!,#DIV/0!
